Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1987-08-03,317.57000732421875,320.260009765625,316.5199890136719,318.6199951171875,207800000
1987-08-04,316.2300109863281,318.25,314.510009765625,317.5899963378906,166500000
1987-08-05,318.45001220703125,319.739990234375,316.2300109863281,316.25,192700000
1987-08-06,322.0899963378906,322.0899963378906,317.5,318.489990234375,192000000
1987-08-07,323.0,324.1499938964844,321.82000732421875,322.1000061035156,212700000
1987-08-10,328.0,328.0,322.95001220703125,322.9800109863281,187200000
1987-08-11,333.3299865722656,333.3999938964844,328.0,328.0199890136719,278100000
1987-08-12,332.3900146484375,334.57000732421875,331.05999755859375,333.32000732421875,235800000
1987-08-13,334.6499938964844,335.5199890136719,332.3800048828125,332.3800048828125,217100000
1987-08-14,333.989990234375,336.0799865722656,332.6300048828125,334.6300048828125,196100000
1987-08-17,334.1099853515625,335.42999267578125,332.8800048828125,333.9800109863281,166100000
1987-08-18,329.25,334.1099853515625,326.42999267578125,334.1000061035156,198400000
1987-08-19,329.8299865722656,329.8900146484375,326.5400085449219,329.260009765625,180900000
1987-08-20,334.8399963378906,335.19000244140625,329.8299865722656,331.489990234375,196600000
1987-08-21,335.8999938964844,336.3699951171875,334.29998779296875,334.8500061035156,189600000
1987-08-24,333.3299865722656,335.8999938964844,331.9200134277344,335.8900146484375,149400000
1987-08-25,336.7699890136719,337.8900146484375,333.3299865722656,333.3699951171875,213500000
1987-08-26,334.57000732421875,337.3900146484375,334.4599914550781,336.7699890136719,196200000
1987-08-27,331.3800048828125,334.57000732421875,331.1000061035156,334.55999755859375,163600000
1987-08-28,327.0400085449219,331.3800048828125,327.0299987792969,331.3699951171875,156300000
1987-08-31,329.79998779296875,330.0899963378906,326.989990234375,327.0299987792969,165800000
1987-09-01,323.3999938964844,332.17999267578125,322.8299865722656,329.80999755859375,193500000
1987-09-02,321.67999267578125,324.5299987792969,318.760009765625,323.3999938964844,199900000
1987-09-03,320.2099914550781,324.2900085449219,317.3900146484375,321.4700012207031,165200000
1987-09-04,316.70001220703125,322.0299987792969,316.5299987792969,320.2099914550781,129100000
1987-09-08,313.55999755859375,316.70001220703125,308.55999755859375,316.67999267578125,242900000
1987-09-09,313.9200134277344,315.4100036621094,312.2900085449219,313.6000061035156,164900000
1987-09-10,317.1300048828125,317.5899963378906,313.9200134277344,313.9200134277344,179800000
1987-09-11,321.9800109863281,322.45001220703125,317.1300048828125,317.1400146484375,178000000
1987-09-14,323.0799865722656,323.80999755859375,320.3999938964844,322.0199890136719,154400000
1987-09-15,317.739990234375,323.0799865722656,317.6300048828125,323.07000732421875,136200000
1987-09-16,314.8599853515625,319.5,314.6099853515625,317.75,195700000
1987-09-17,314.92999267578125,316.0799865722656,313.45001220703125,314.94000244140625,150700000
